order_id,product_id,quantity,line_total
1,54,2,171.3
1,52,1,428.96
2,4,2,641.06
2,59,4,1881.64
3,18,4,363.12
4,30,2,255.26
4,19,3,247.32
4,32,3,1140.39
4,49,3,571.29
5,84,1,439.35
6,20,4,515.48
7,26,5,1851.3
7,51,5,1270.25
7,35,1,27.77
8,75,5,201.2
8,9,5,1993.1
9,89,2,753.1
10,25,1,477.66
10,63,3,695.52
10,41,3,745.05
10,75,3,120.72
11,35,5,138.85
12,16,5,1747.55
12,79,2,816.32
12,76,2,325.78
12,80,1,144.52
13,19,1,82.44
13,74,5,1715.45
13,63,3,695.52
13,57,2,36.24
14,45,1,202.26
14,46,1,309.85
14,19,5,412.2
14,81,3,190.47
15,11,2,444.58
15,78,3,49.56
15,55,4,159.72
16,37,4,1713.8
17,84,3,1318.05
17,66,2,392.24
17,10,4,556.24
17,40,1,53.43
18,93,5,945.75
18,94,2,778.64
19,74,3,1029.27
19,60,3,869.58
20,6,2,976.1
21,65,1,471.03
22,11,2,444.58
22,71,4,219.56
22,49,2,380.86
23,92,1,209.25
24,7,3,781.71
24,76,3,488.67
24,98,2,434.7
25,54,5,428.25
26,14,2,963.02
26,79,5,2040.8
27,88,3,278.49
27,68,4,1812.6
27,98,4,869.4
28,91,1,495.3
29,28,4,1231.2
29,26,1,370.26
30,71,3,164.67
30,1,1,30.58
30,46,1,309.85
31,21,5,1384.35
32,43,5,453.65
32,90,5,2021.9
32,46,5,1549.25
33,85,1,368.86
33,89,5,1882.75
34,10,5,695.3
35,38,5,1766.55
35,75,4,160.96
35,72,4,56.08
36,75,2,80.48
36,47,1,319.37
37,65,2,942.06
37,5,3,1093.26
37,45,3,606.78
37,42,4,957.48
38,23,3,995.4
38,67,2,961.58
39,97,3,1289.73
39,56,2,646.0
39,87,5,723.05
39,81,1,63.49
40,68,4,1812.6
40,31,5,906.05
40,66,5,980.6
40,53,2,662.1
41,2,2,536.04
41,66,3,588.36
41,73,1,51.75
42,15,5,2094.05
42,94,5,1946.6
42,21,5,1384.35
42,46,5,1549.25
43,7,4,1042.28
43,2,1,268.02
44,66,1,196.12
44,8,4,659.44
45,96,4,1862.88
45,75,5,201.2
46,7,1,260.57
46,94,2,778.64
46,81,1,63.49
46,42,4,957.48
47,62,3,970.29
48,69,4,407.68
48,7,3,781.71
48,90,3,1213.14
49,26,3,1110.78
49,14,4,1926.04
50,45,3,606.78
50,5,5,1822.1
50,40,3,160.29
50,14,1,481.51
51,3,1,272.61
51,6,1,488.05
51,98,2,434.7
52,37,1,428.45
52,61,5,985.7
53,79,2,816.32
53,51,1,254.05
53,42,4,957.48
53,82,3,1049.64
54,40,2,106.86
54,46,1,309.85
54,80,4,578.08
55,82,1,349.88
55,44,2,439.52
55,42,3,718.11
55,35,1,27.77
56,81,1,63.49
57,60,3,869.58
57,6,3,1464.15
58,84,5,2196.75
58,9,4,1594.48
58,21,1,276.87
59,17,2,414.86
60,80,3,433.56
60,22,2,717.44
60,68,5,2265.75
60,12,1,43.84
61,10,2,278.12
61,45,5,1011.3
61,47,4,1277.48
61,38,5,1766.55
62,18,4,363.12
62,38,2,706.62
62,47,3,958.11
63,60,1,289.86
63,40,1,53.43
63,42,2,478.74
64,39,3,719.16
65,87,1,144.61
65,99,1,376.68
65,72,1,14.02
65,39,4,958.88
66,11,5,1111.45
66,23,2,663.6
66,82,5,1749.4
66,99,3,1130.04
67,23,4,1327.2
67,14,4,1926.04
67,90,3,1213.14
68,81,3,190.47
68,86,4,1610.88
68,68,5,2265.75
69,61,4,788.56
69,57,1,18.12
69,22,1,358.72
70,25,4,1910.64
71,18,5,453.9
71,97,4,1719.64
71,89,2,753.1
71,40,5,267.15
72,15,1,418.81
73,74,3,1029.27
73,6,2,976.1
74,64,4,1100.32
75,75,5,201.2
75,53,2,662.1
75,20,4,515.48
75,52,3,1286.88
76,3,5,1363.05
76,71,3,164.67
76,97,1,429.91
77,51,2,508.1
78,27,1,279.41
79,75,4,160.96
79,63,1,231.84
79,29,5,1063.5
79,88,3,278.49
80,20,4,515.48
80,61,2,394.28
81,73,4,207.0
81,72,2,28.04
82,37,5,2142.25
82,97,5,2149.55
83,27,5,1397.05
84,61,1,197.14
85,80,5,722.6
85,92,1,209.25
86,4,2,641.06
86,28,1,307.8
87,1,2,61.16
88,51,1,254.05
88,77,3,1269.63
88,91,3,1485.9
88,60,2,579.72
89,42,5,1196.85
89,90,4,1617.52
89,2,1,268.02
90,95,5,868.5
90,20,3,386.61
90,36,2,50.32
91,30,4,510.52
91,30,4,510.52
92,66,3,588.36
93,68,2,906.3
93,31,4,724.84
93,88,2,185.66
93,6,1,488.05
94,61,4,788.56
94,79,3,1224.48
94,89,2,753.1
94,43,1,90.73
95,70,1,39.33
96,34,4,249.84
96,64,5,1375.4
96,12,1,43.84
96,97,5,2149.55
97,43,4,362.92
98,99,1,376.68
98,65,5,2355.15
98,78,5,82.6
98,36,4,100.64
99,2,1,268.02
99,21,3,830.61
99,66,3,588.36
99,45,4,809.04
100,72,2,28.04
101,7,2,521.14
101,85,1,368.86
101,100,1,378.5
102,60,1,289.86
103,55,2,79.86
103,67,3,1442.37
103,56,2,646.0
103,79,2,816.32
104,87,1,144.61
105,38,1,353.31
105,49,5,952.15
105,91,4,1981.2
106,55,5,199.65
106,41,4,993.4
106,62,2,646.86
106,24,1,143.57
107,32,2,760.26
107,2,1,268.02
108,11,3,666.87
109,24,3,430.71
110,68,3,1359.45
111,45,3,606.78
111,54,2,171.3
111,27,1,279.41
112,96,3,1397.16
113,45,3,606.78
113,75,5,201.2
113,80,5,722.6
114,58,1,294.96
115,71,1,54.89
115,65,2,942.06
115,5,3,1093.26
115,71,1,54.89
116,28,5,1539.0
116,48,4,109.72
116,71,3,164.67
117,22,3,1076.16
117,67,5,2403.95
117,17,5,1037.15
118,88,3,278.49
118,24,5,717.85
119,60,5,1449.3
119,85,4,1475.44
120,33,4,48.48
121,70,1,39.33
121,12,4,175.36
121,64,2,550.16
122,28,1,307.8
122,56,4,1292.0
122,33,5,60.6
122,15,2,837.62
123,46,1,309.85
123,51,4,1016.2
124,97,5,2149.55
125,35,2,55.54
125,80,5,722.6
125,17,5,1037.15
126,3,4,1090.44
126,86,2,805.44
126,11,5,1111.45
126,98,4,869.4
